Date,Open,High,Low,Close,Volume,Adj Close
2014-12-24,79.370003,79.489998,78.620003,79.199997,000,79.199997
2014-12-23,79.00,79.620003,78.980003,79.349998,000,79.349998
2014-12-22,78.220001,78.690002,78.019997,78.690002,000,78.690002
2014-12-19,78.620003,78.690002,77.959999,78.190002,000,78.190002
2014-12-18,78.279999,78.699997,77.919998,78.699997,000,78.699997
2014-12-17,75.669998,77.470001,75.419998,77.470001,000,77.470001
2014-12-16,74.889999,76.489998,74.720001,75.540001,000,75.540001
2014-12-15,76.260002,76.480003,75.050003,75.239998,000,75.239998
2014-12-12,76.089996,76.639999,75.75,75.860001,000,75.860001
2014-12-11,76.910004,77.589996,76.709999,76.830002,000,76.830002
2014-12-10,78.860001,79.029999,76.550003,76.550003,000,76.550003
2014-12-09,77.379997,79.220001,77.129997,79.209999,000,79.209999
2014-12-08,78.339996,79.279999,77.779999,78.18,000,78.18
2014-12-05,77.339996,78.959999,77.339996,78.540001,000,78.540001
2014-12-04,77.110001,77.190002,76.739998,77.110001,000,77.110001
2014-12-03,76.199997,77.370003,76.150002,77.230003,000,77.230003
2014-12-02,75.379997,76.900002,75.379997,76.300003,000,76.300003
2014-12-01,76.599998,76.620003,75.080002,75.120003,000,75.120003
2014-11-28,78.709999,78.769997,76.760002,76.849998,000,76.849998
2014-11-26,78.519997,78.650002,78.209999,78.639999,000,78.639999
2014-11-25,78.529999,78.620003,78.089996,78.620003,000,78.620003
2014-11-24,77.580002,78.470001,77.580002,78.470001,000,78.470001
2014-11-21,78.830002,78.889999,77.190002,77.360001,000,77.360001
2014-11-20,77.139999,78.150002,77.089996,78.139999,000,78.139999
2014-11-19,78.279999,78.279999,76.900002,77.529999,000,77.529999
2014-11-18,78.43,78.809998,78.339996,78.360001,000,78.360001
2014-11-17,78.730003,78.730003,78.269997,78.330002,000,78.330002
2014-11-14,79.25,79.559998,78.739998,78.959999,000,78.959999
2014-11-13,80.300003,80.300003,79.220001,79.25,000,79.25
2014-11-12,79.18,80.419998,79.160004,80.370003,000,80.370003
2014-11-11,79.18,79.199997,78.809998,78.949997,000,78.949997
2014-11-10,78.720001,79.300003,78.690002,79.209999,000,79.209999
2014-11-07,78.440002,78.690002,78.110001,78.68,000,78.68
2014-11-06,78.099998,78.540001,77.849998,78.519997,000,78.519997
2014-11-05,77.900002,78.099998,77.529999,78.040001,000,78.040001
2014-11-04,77.449997,77.50,76.739998,77.449997,000,77.449997
2014-11-03,77.980003,78.589996,77.50,77.769997,000,77.769997
2014-10-31,77.550003,78.199997,77.110001,77.949997,000,77.949997
2014-10-30,76.019997,76.900002,75.709999,76.589996,000,76.589996
2014-10-29,75.550003,76.580002,75.00,76.379997,000,76.379997
2014-10-28,73.660004,75.550003,73.639999,75.529999,000,75.529999
2014-10-27,72.540001,73.43,72.32,73.400002,000,73.400002
2014-10-24,72.620003,73.099998,72.480003,72.860001,000,72.860001
2014-10-23,73.239998,73.669998,72.699997,72.82,000,72.82
2014-10-22,73.239998,73.639999,72.290001,72.339996,000,72.339996
2014-10-21,71.57,73.160004,71.57,73.07,000,73.07
2014-10-20,70.660004,71.339996,70.650002,71.099998,000,71.099998
2014-10-17,71.919998,71.919998,70.599998,70.919998,000,70.919998
2014-10-16,68.82,71.139999,68.800003,70.980003,000,70.980003
2014-10-15,70.510002,70.510002,68.57,69.720001,000,69.720001
2014-10-14,71.18,72.32,71.169998,71.529999,000,71.529999
2014-10-13,70.449997,71.589996,70.360001,70.82,000,70.82
2014-10-10,70.589996,71.519997,70.370003,70.370003,000,70.370003
2014-10-09,72.589996,72.589996,70.779999,70.779999,000,70.779999
2014-10-08,71.129997,72.779999,71.110001,72.75,000,72.75
2014-10-07,71.980003,72.260002,71.129997,71.129997,000,71.129997
2014-10-06,73.239998,73.290001,72.290001,72.379997,000,72.379997
2014-10-03,73.190002,73.650002,73.010002,73.050003,000,73.050003
2014-10-02,71.980003,72.910004,71.620003,72.580002,000,72.580002
2014-10-01,72.580002,73.019997,71.800003,72.019997,000,72.019997
2014-09-30,73.290001,73.379997,72.639999,72.639999,000,72.639999
2014-09-29,72.790001,73.419998,72.730003,73.260002,000,73.260002
2014-09-26,73.209999,73.519997,72.959999,73.489998,000,73.489998
2014-09-25,74.050003,74.050003,72.919998,73.139999,000,73.139999
2014-09-24,74.110001,74.32,73.720001,74.220001,000,74.220001
2014-09-23,74.760002,75.040001,73.970001,73.970001,000,73.970001
2014-09-22,75.709999,75.910004,74.860001,74.860001,000,74.860001
2014-09-19,76.959999,77.489998,75.919998,75.93,000,75.93
2014-09-18,75.650002,77.120003,75.650002,76.769997,000,76.769997
2014-09-17,75.220001,76.129997,74.970001,75.449997,000,75.449997
2014-09-16,75.610001,76.099998,75.040001,75.190002,000,75.190002
2014-09-15,76.449997,76.470001,75.68,75.739998,000,75.739998
2014-09-12,76.339996,76.949997,75.959999,76.50,000,76.50
2014-09-11,75.410004,76.400002,75.349998,76.279999,000,76.279999
2014-09-10,74.790001,75.919998,74.790001,75.82,000,75.82
2014-09-09,75.309998,75.309998,74.559998,74.739998,000,74.739998
2014-09-08,75.07,75.50,74.959999,75.470001,000,75.470001
2014-09-05,74.919998,75.209999,74.449997,75.160004,000,75.160004
2014-09-04,75.389999,76.040001,75.050003,75.150002,000,75.150002
2014-09-03,75.75,75.879997,75.120003,75.279999,000,75.279999
2014-09-02,74.919998,75.800003,74.910004,75.510002,000,75.510002
2014-08-29,74.309998,74.699997,74.040001,74.660004,000,74.660004
2014-08-28,74.489998,74.639999,74.040001,74.209999,000,74.209999
2014-08-27,75.349998,75.349998,74.790001,74.809998,000,74.809998
2014-08-26,74.790001,75.400002,74.790001,75.379997,000,75.379997
2014-08-25,74.989998,75.120003,74.470001,74.769997,000,74.769997
2014-08-22,74.480003,74.959999,74.209999,74.629997,000,74.629997
2014-08-21,73.480003,74.739998,73.110001,74.550003,000,74.550003
2014-08-20,73.610001,73.790001,73.139999,73.559998,000,73.559998
2014-08-19,73.769997,74.110001,73.730003,73.82,000,73.82
2014-08-18,72.970001,73.809998,72.970001,73.730003,000,73.730003
2014-08-15,73.449997,73.480003,71.949997,72.470001,000,72.470001
2014-08-14,73.050003,73.389999,72.860001,72.900002,000,72.900002
2014-08-13,72.610001,73.230003,72.610001,73.029999,000,73.029999
2014-08-12,72.449997,72.970001,72.07,72.419998,000,72.419998
2014-08-11,72.620003,73.25,72.309998,72.720001,000,72.720001
2014-08-08,71.959999,72.370003,71.900002,72.339996,000,72.339996
2014-08-07,72.75,72.800003,71.699997,71.93,000,71.93
2014-08-06,71.919998,72.949997,71.919998,72.629997,000,72.629997
2014-08-05,71.93,72.709999,71.889999,72.220001,000,72.220001
2014-08-04,72.519997,72.739998,71.57,72.279999,000,72.279999
2014-08-01,73.230003,73.459999,71.970001,72.269997,000,72.269997
2014-07-31,74.07,74.379997,73.330002,73.330002,000,73.330002
2014-07-30,74.279999,74.940002,74.059998,74.620003,000,74.620003
2014-07-29,73.830002,74.379997,73.809998,73.870003,000,73.870003
2014-07-28,74.559998,74.589996,73.470001,73.730003,000,73.730003
2014-07-25,74.07,74.839996,74.040001,74.620003,000,74.620003
2014-07-24,73.959999,74.919998,73.940002,74.68,000,74.68
2014-07-23,73.879997,73.980003,73.330002,73.75,000,73.75
2014-07-22,74.370003,74.690002,73.629997,73.760002,000,73.760002
2014-07-21,74.150002,74.379997,73.720001,74.150002,000,74.150002
2014-07-18,73.639999,74.93,73.629997,74.550003,000,74.550003
2014-07-17,75.040001,75.18,73.599998,73.760002,000,73.760002
2014-07-16,77.010002,77.010002,75.209999,75.300003,000,75.300003
2014-07-15,76.150002,76.830002,75.949997,76.709999,000,76.709999
2014-07-14,76.690002,76.790001,75.959999,76.019997,000,76.019997
2014-07-11,75.889999,76.290001,75.410004,76.00,000,76.00
2014-07-10,75.949997,76.68,75.510002,76.150002,000,76.150002
